+Linda by Dalex
Get You The Moon (feat. Snøw) by Kina
Gifted (feat. Roddy Ricch) by Cordae
Gimme Love by Joji
Girls in the Hood by Megan Thee Stallion
Girls Like You (feat. Cardi B) by Maroon 5
Glock In My Lap by 21 Savage
GO (feat. Juice WRLD) by The Kid LAROI
Go Crazy by Chris Brown
Godzilla (feat. Juice WRLD) by Eminem
GOOBA by 6ix9ine
Goodbyes (feat. Young Thug) by Post Malone
goosebumps by Travis Scott
Got It On Me by Pop Smoke
GREECE (feat. Drake) by DJ Khaled
Hallucinate by Dua Lipa
Happier by Marshmello
Hasta Que Dios Diga by Anuel AA
Hate The Other Side (with Marshmello & The Kid Laroi) by Juice WRLD
Hawái by Maluma
Head & Heart (feat. MNEK) by Joel Corry
Head Shoulders Knees & Toes (feat. Norma Jean Martine) by Ofenbach
Heart Of Glass (Live from the iHeart Festival) by Miley Cyrus
Heather by Conan Gray
Hello (feat. A Boogie Wit da Hoodie) by Pop Smoke
High Fashion (feat. Mustard) by Roddy Ricch
High Hopes by Panic! At The Disco
Higher Love by Kygo
HIGHEST IN THE ROOM by Travis Scott
Hit Different by SZA
Hit My Line by Logic
hoax by Taylor Swift
Hola - Remix by Dalex
Holy (feat. Chance The Rapper) by Justin Bieber
hot girl bummer by blackbear
Hot Stuff by Kygo
How You Like That by BLACKPINK
I Don't Care (with Justin Bieber) by Ed Sheeran
I Like Me Better by Lauv
I Want It by Juice WRLD
I'm Yours by Jason Mraz
Ice Cream (with Selena Gomez) by BLACKPINK
if i were u (with Lauv) by blackbear
If the World Was Ending - feat. Julia Michaels by JP Saxe
Ignorantes by Bad Bunny
Ihr Hobby by Bonez MC
illicit affairs by Taylor Swift
ily (i love you baby) (feat. Emilee) by Surf Mesa
In Your Eyes by The Weeknd
Intentions (feat. Quavo) by Justin Bieber
Investe Em Mim by Jonas Esticado
invisible string by Taylor Swift
It's You by Ali Gatie
Jangueo by Alex Rose
Jeans by Justin Quiles
Jerusalema (feat. Nomcebo Zikode) by Master KG
Jocelyn Flores by XXXTENTACION
Jolie nana by Aya Nakamura
Juice WRLD Speaks From Heaven - Outro by Juice WRLD
July by Noah Cyrus
Karaoke by Boomdabash
Kill This Love by BLACKPINK
Kings & Queens by Ava Max
Know Your Worth by Khalid
LA CANCIÓN by J Balvin
La Curiosidad by Jay Wheeler
La Difícil by Bad Bunny
La Jeepeta - Remix by Nio Garcia
La Tóxica by Farruko
Lalala by Y2K
Laugh Now Cry Later (feat. Lil Durk) by Drake
Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto) by Super Yei
Lemonade by Internet Money
Lemonade (feat. Gunna, Don Toliver & NAV) by Internet Money
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix] by Internet Money
Let Her Go by Passenger
Lets Link by WhoHeem
Levitating (feat. DaBaby) by Dua Lipa
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] by Dua Lipa
Life Is Good (feat. Drake) by Future
Life's A Mess (feat. Halsey) by Juice WRLD
Lights Up by Harry Styles
Like That (feat. Gucci Mane) by Doja Cat
Lion King On Ice by J. Cole
Lithuania (feat. Travis Scott) by Big Sean
Lose Control by MEDUZA
Lose Somebody by Kygo
Lose You To Love Me by Selena Gomez
Love To Hate Me by BLACKPINK
Lovefool by twocolors
lovely (with Khalid) by Billie Eilish
Lovesick Girls by BLACKPINK
Lucid Dreams by Juice WRLD
Mad at Disney by salem ilese
mad woman by Taylor Swift
Madrid by Maluma
Make It Rain (feat. Rowdy Rebel) by Pop Smoke
MAMACITA by Black Eyed Peas
Mamichula - con Nicki Nicole by Trueno
Man Of The Year by Juice WRLD
Many Men by 21 Savage
Mariposa by Peach Tree Rascals
Martin & Gina by Polo G
Me Gusta (with Cardi B & Myke Towers) by Anitta
Memories by Maroon 5
Mi Cuarto by Jerry Di
Mi Niña by Wisin
Midnight Sky by Miley Cyrus
mirrorball by Taylor Swift
MODUS by Joji
Money In The Grave (Drake ft. Rick Ross) by Drake
Money Trees by Kendrick Lamar
Monster by Red Velvet - IRENE & SEULGI
Mood (feat. iann dior) by 24kGoldn
Mood Swings (feat. Lil Tjay) by Pop Smoke
Moonlight by XXXTENTACION
Morado by J Balvin
MORE & MORE by TWICE
Move Ya Hips (feat. Nicki Minaj & MadeinTYO) by A$AP Ferg
Mr. Brightside by The Killers
Mr. Right Now (feat. Drake) by 21 Savage
My Dawg by 21 Savage
my ex's best friend (with blackbear) by Machine Gun Kelly
my future by Billie Eilish
My Oasis (feat. Burna Boy) by Sam Smith
my tears ricochet by Taylor Swift
Myron by Lil Uzi Vert
Máquina do Tempo by Matuê
Narcos by Anuel AA
Narrow Road (feat. Lil Baby) by NLE Choppa
Never Know (feat. SHIRIN DAVID) by Luciano
Never Let Me Down by VIZE
No Guidance (feat. Drake) by Chris Brown
No Idea by Don Toliver
No Me Conoce - Remix by Jhay Cortez
No Opp Left Behind by 21 Savage
Nobody's Love by Maroon 5
Not Shy by ITZY
ocean eyes by Billie Eilish
Oh Juliana by Niack
OK Not To Be OK by Marshmello
Old Town Road - Remix by Lil Nas X
ON by BTS
Only You Freestyle by Headie One
OUT WEST (feat. Young Thug) by JACKBOYS
Outta Time (feat. Drake) by Bryson Tiller
Over Now (with The Weeknd) by Calvin Harris
Over Your Head by Future
PA' ROMPERLA by Bad Bunny
PAM by Justin Quiles
Parasite Eve by Bring Me The Horizon
Parce (feat. Justin Quiles) by Maluma
Party Girl by StaySolidRocky
Party Girl (Remix) by StaySolidRocky
Past Life (with Selena Gomez) by Trevor Daniel
peace by Taylor Swift
Perfect by Ed Sheeran
Photograph by Ed Sheeran
Physical by Dua Lipa
Play Date by Melanie Martinez
POPSTAR (feat. Drake) by DJ Khaled
PORFA by Feid
PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix by Feid
Pretty Boy (feat. Lil Yachty) by Joji
Pretty Savage by BLACKPINK
Prospect (ft. Lil Baby) by iann dior
PUNANI by 6ix9ine
Put Your Records On by Ritt Momney
Quiéreme Mientras Se Pueda by Manuel Turizo
Rags2Riches (feat. ATR Son Son) by Rod Wave
Rags2Riches 2 (feat. Lil Baby) by Rod Wave
Rain On Me (with Ariana Grande) by Lady Gaga
Ransom by Lil Tecca
Reggaetonera by Anuel AA
Relación by Sech
Relación - Remix by Sech
Rich Nigga Shit (feat. Young Thug) by 21 Savage
Ride It by Regard
Righteous by Juice WRLD
RIP Luv by 21 Savage
Riptide by Vance Joy
RITMO (Bad Boys For Life) by Black Eyed Peas
Robbery by Juice WRLD
rockstar (feat. 21 Savage) by Post Malone
ROCKSTAR (feat. Roddy Ricch) by DaBaby
Rojo by J Balvin
Roses - Imanbek Remix by SAINt JHN
Rover (feat. DTG) by S1mba
ROXANNE by Arizona Zervas
Run by Joji
Runnin by 21 Savage
SAD! by XXXTENTACION
Safaera by Bad Bunny
Salt by Ava Max
Sanctuary by Joji
Savage by Megan Thee Stallion
Savage Love (Laxed - Siren Beat) by Jawsh 685
Savage Love (Laxed – Siren Beat) [BTS Remix] by Jawsh 685
Savage Remix (feat. Beyoncé) by Megan Thee Stallion
Say So by Doja Cat
Say So (feat. Nicki Minaj) by Doja Cat
Say You Won't Let Go by James Arthur
Screw Juice by Juice WRLD
Se Te Nota (with Guaynaa) by Lele Pons
Secrets by Regard
September by Earth, Wind & Fire
seven by Taylor Swift
Señorita by Shawn Mendes
Shallow by Lady Gaga
Shape of You by Ed Sheeran
Shit Changed by Ufo361
Si Veo a Tu Mamá by Bad Bunny
SICKO MODE by Travis Scott
Sie ruft by Apache 207
Sigues Con El by Dímelo Flow
Singapur by El Alfa
Skechers by DripReport
Slidin by 21 Savage
SLOW DANCING IN THE DARK by Joji
Smile (with The Weeknd) by Juice WRLD
Snitches & Rats (feat. Young Nudy) by 21 Savage
Snitching (feat. Quavo & Future) by Pop Smoke
Sofia by Clairo
Some Say - Felix Jaehn Remix by Nea
Someone To You by BANNERS
Someone You Loved by Lewis Capaldi
Something Just Like This by The Chainsmokers
Something Special by Pop Smoke
Sour Candy (with BLACKPINK) by Lady Gaga
Star Shopping by Lil Peep
Stay Gold by BTS
Stay High by Juice WRLD
Steppin On Niggas by 21 Savage
Still Don't Know My Name by Labrinth
Story of My Life by One Direction
Stuck with U (with Justin Bieber) by Ariana Grande
Stunnin' (feat. Harm Franklin) by Curtis Waters
Sucker by Jonas Brothers
Sunday Best by Surfaces
Sunflower - Spider-Man: Into the Spider-Verse by Post Malone
Supalonely by BENEE
Sweater Weather by The Neighbourhood
Sweet but Psycho by Ava Max
Tak Tiki Tak by Harry Nach
Take Me To Church by Hozier
Take You Dancing by Jason Derulo
Tap In by Saweetie
Tap In (feat. Post Malone, DaBaby & Jack Harlow) by Saweetie
Tattoo by Rauw Alejandro
Tattoo - Remix with Camilo by Rauw Alejandro
Tell Me U Luv Me (with Trippie Redd) by Juice WRLD
TELL ME WHY by The Kid LAROI
thank u, next by Ariana Grande
the 1 by Taylor Swift
The Adventures of Moon Man & Slim Shady (with Eminem) by Kid Cudi
THE BADDEST by K/DA
The Bigger Picture by Lil Baby
The Box by Roddy Ricch
The Climb Back by J. Cole
the last great american dynasty by Taylor Swift
The Less I Know The Better by Tame Impala
The Man, The Myth, The Legend - Interlude by Juice WRLD
The Plan - From the Motion Picture ""TENET"" by Travis Scott
THE SCOTTS by THE SCOTTS
The Woo (feat. 50 Cent & Roddy Ricch) by Pop Smoke
Thinking out Loud by Ed Sheeran
This City by Sam Fischer
this is me trying by Taylor Swift
Thunder by Imagine Dragons
Tick Tock by Joji
Tick Tock (feat. 24kGoldn) by Clean Bandit
Tiefschwarz (feat. Samra) by Kontra K
Tilidin Weg by Bonez MC
Titanic by Juice WRLD
TKN (feat. Travis Scott) by ROSAL�?A
Tommy Lee (feat. Post Malone) by Tyla Yaweh
Toosie Slide by Drake
TROLLZ (with Nicki Minaj) by 6ix9ine
Tunnel Vision (Outro) by Pop Smoke
Tusa by KAROL G
UN DIA (ONE DAY) (Feat. Tainy) by J Balvin
Una Locura by Ozuna
Unterwegs by KitschKrieg
Up Up And Away by Juice WRLD
Vida de Rico by Camilo
Wake Me Up by Avicii
Walk Em Down (feat. Roddy Ricch) by NLE Choppa
WAP (feat. Megan Thee Stallion) by Cardi B
Wash Us In The Blood by Kanye West
Watermelon Sugar by Harry Styles
We Paid (feat. 42 Dugg) by Lil Baby
West Coast Shit (feat. Tyga & Quavo) by Pop Smoke
What Makes You Beautiful by One Direction
What You Know Bout Love by Pop Smoke
What's Love Got to Do with It by Kygo
WHATS POPPIN by Jack Harlow
WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix by Jack Harlow
When I Look At You by Miley Cyrus
when the party's over by Billie Eilish
Who's Laughing Now by Ava Max
Wishing Well by Juice WRLD
Without Me by Halsey
Wolves (feat. Post Malone) by Big Sean
Wonder by Shawn Mendes
Wow. by Post Malone
XXL by Miksu / Macloud
YAYA by 6ix9ine
Yea Yea by Pop Smoke
Yo Perreo Sola by Bad Bunny
you broke me first by Tate McRae
You Got It by Vedo
You Never Know by BLACKPINK
Youngblood by 5 Seconds of Summer
Your Man by Joji
Yummy by Justin Bieber
